Gene Name,GenBank Gene ID,Drug ID
HTR6,L41147, DB06144
HTR6,L41147,DB01049
HTR6,L41147, DB01239
HTR6,L41147, DB11273
HTR6,L41147, DB13025
HTR6,L41147, DB13345
EGF,X04571,DB00364
NR1I2,AF061056,DB00530
FASN,U26644,DB01034
DPYD,U09178,DB09327
SMS,Z49099,DB00127
MMP13,X75308,DB00786
TFPI,J03225,DB06779
TFPI,J03225, DB14562
HRH3,AF140538,DB05381
HRH3,AF140538, DB06698
HRH3,AF140538, DB11642
SERPINB2,J02685,DB00013
TOP1,J03250,DB00762
TOP1,J03250, DB01030
TOP1,J03250, DB04967
TOP1,J03250, DB05630
TOP1,J03250, DB12893
TOP1,J03250, DB14962
IL12B,M65272,DB05679
IL12B,M65272, DB14004
IL12B,M65272, DB14762
TGFB1,X05839,DB01162
TGFB1,X05839, DB10772
SLC8A1,M91368,DB00159
SLC8A1,M91368, DB04855
TPMT,S62904,DB01250
BACE1,AF190725,DB06073
BACE1,AF190725, DB12285
SV2A,AB018279,DB01202
SV2A,AB018279, DB05541
SV2A,AB018279, DB05885
NPR2,AB005647,DB01613
NPR2,AB005647, DB11928
TNFSF13B,AF136293,DB08879
AOC3,U39447,DB01275
PPARD,L07592,DB00159
PPARD,L07592, DB00374
PPARD,L07592, DB01393
PPARD,L07592, DB09462
ADRB3,M29932,DB00368
ADRB3,M29932, DB01064
ADRB3,M29932, DB01363
ADRB3,M29932, DB06262
ADRB3,M29932, DB08893
ADRB3,M29932, DB11124
ADRB3,M29932, DB14895
ADRB3,M29932,DB01049
ADRB3,M29932, DB01118
ADRB3,M29932, DB11273
ADRB3,M29932, DB11278
ADRB3,M29932, DB13345
PPIA,Y00052,DB00091
FGF2,X04431,DB00364
FGF2,X04431, DB00686
ROCK1,U43195,DB13931
ROCK1,U43195, DB16703
F11,M13142,DB00100
F11,M13142, DB06404
F11,M13142, DB09228
F11,M13142, DB11300
F11,M13142, DB11571
F11,M13142, DB13152
TRPV1,AJ277028,DB00132
TRPV1,AJ277028, DB01744
TRPV1,AJ277028, DB06774
TRPV1,AJ277028, DB09120
TRPV1,AJ277028, DB09288
TRPV1,AJ277028, DB11131
TRPV1,AJ277028, DB11324
TRPV1,AJ277028, DB11345
TRPV1,AJ277028, DB14050
TNNC1,X07897,DB00922
TNNC1,X07897, DB01373
CCND1,X59798,DB01169
CCND1,X59798, DB11718
KCNJ3,U39196,DB04855
ABCB1,M14758,DB04905
ABCB1,M14758, DB06191
ABCB1,M14758, DB14061
ABCB1,M14758, DB14062
ABCB1,M14758, DB14063
ABCB1,M14758, DB14064
ABCB1,M14758, DB14065
ABCB1,M14758, DB14069
ABCB1,M14758, DB14070
ABCB1,M14758, DB14072
IL3RA,M74782,DB00020
IL3RA,M74782, DB14731
NTRK1,M23102,DB08896
NTRK1,M23102, DB11986
NTRK1,M23102, DB14723
JUN,J04111,DB00210
JUN,J04111, DB01169
VWF,X04385,DB00025
VWF,X04385, DB09108
VWF,X04385, DB09329
VWF,X04385, DB11606
VWF,X04385, DB11607
VWF,X04385, DB13998
VWF,X04385, DB13999
VWF,X04385, DB14738
TAAR1,AF380185,DB00182
TAAR1,AF380185, DB01577
CCL2,M24545,DB01055
IL1B,K02770,DB05260
IL1B,K02770, DB06168
IL1B,K02770, DB10772
MAPK3,X60188,DB01169
GSK3B,L33801,DB12129
SLC22A6,AF057039,DB01032
ABCC2,U63970,DB01138
PLA2G6,AF064594,DB01103
PLCL1,D42108,DB01103
ICAM1,X06990,DB08818
NFKB1,M55643,DB01041
NFKB1,M55643, DB08814
NFKB1,M55643,DB13751
NFKB1,M55643,DB14059
LTA,X01393,DB00005
PLAT,L00153,DB00513
PLAT,L00153, DB06404
PLAT,L00153, DB09228
KLK1,M25629,DB12598
NGF,V01511,DB12157
MAP2,U01828,DB01196
MAP2,U01828, DB01229
MAP2,U01828, DB01248
ACPP,M97589,DB06688
CALCA,M12667,DB14040
CALCA,M12667, DB14041
CALCA,M12667, DB14042
RET,AF032124,DB00619
CD44,M24915,DB08818
MMP3,X05232,DB00786
HSP90AA1,X15183,DB12442
TRPA1,Y10601,DB00825
TRPA1,Y10601, DB01744
TRPA1,Y10601, DB11345
TRPA1,Y10601, DB11755
TRPA1,Y10601, DB14050
KCNJ12,L36069,DB00204
KCNJ12,L36069,DB11148
KCNJ12,L36069,DB04855
PRKCA,X52479,DB06595
PRKCA,X52479,DB00675
PDE4A,L20965,DB00277
PDE4A,L20965, DB00651
PDE4A,L20965, DB00824
PDE4A,L20965, DB00975
PDE4A,L20965, DB01303
PDE4A,L20965, DB05266
PDE4A,L20965, DB06751
PDE4A,L20965,DB09283
PDE4A,L20965,DB01427
TNFRSF1A,X55313,DB11626
SCN9A,X82835,DB00281
SCN9A,X82835, DB00909
SCN9A,X82835,DB00907
SCN9A,X82835, DB05541
SCN9A,X82835, DB13269
SCN9A,X82835,DB00273
SCN9A,X82835, DB00555
SCN9A,X82835, DB00564
SCN9A,X82835, DB09085
SCN9A,X82835, DB09088
SCN9A,X82835, DB09342
SCN9A,X82835, DB09345
DPEP1,D13137,DB01597
IKBKB,AF029684,DB00995
IKBKB,AF029684, DB01169
ITGB3,J02703,DB00054
ITGB3,J02703, DB00063
ITGB3,J02703, DB00098
ITGB3,J02703, DB00451
ITGB3,J02703, DB00775
XIAP,U45880,DB04209
CCKBR,L08112,DB00183
SELP,M60234,DB15271
PROCR,L35545,DB11328
CASP3,U13737,DB13751
TLR2,AF051152,DB00045
TLR2,AF051152, DB00210
TLR2,AF051152, DB11601
MAP1A,U38291,DB01196
ANXA2,D00017,DB00591
TLR9,AF259262,DB01611
SI,X63597,DB00284
F3,M16553,DB13150
F3,M16553, DB16732
FN1,AJ276395,DB08888
MMP8,J05556,DB00786
IDE,M21188,DB00626
TRPM8,AY090109,DB00825
TRPM8,AY090109, DB01744
TRPM8,AY090109, DB11345
TRPM8,AY090109, DB11755
GRM5,D28538,DB00659
CFTR,M28668,DB04941
CFTR,M28668, DB08820
CFTR,M28668, DB09280
CFTR,M28668, DB11712
CFTR,M28668, DB15444
MMP12,L23808,DB00786
FGFR4,X57205,DB09078
FGFR4,X57205, DB11886
FGFR4,X57205, DB12147
CAT,X04085,DB01213
IL5,X04688,DB06602
IL5,X04688, DB06612
vatD,L12033,DB01764
ATIC,U37436,DB00563
ATIC,U37436, DB00642
BST1,D21878,DB02701
IDH1,AF020038,DB14568
botB,M81186,DB13903
BTK,X58957,DB09053
BTK,X58957, DB11703
BTK,X58957, DB15035
BTK,X58957, DB15327
PDE4D,L20970,DB00651
PDE4D,L20970, DB03849
PDE4D,L20970,DB09283
PDE4D,L20970,DB00201
PDE4D,L20970,DB01427
PIK3CG,X83368,DB05552
PIK3CG,X83368, DB11952
SYK,Z29630,DB12010
TUBA1A,X01703,DB00570
TUBA1A,X01703, DB00643
TUBB4B,X02344,DB00643
TUBA4A,X06956,DB01179
TUBA4A,X06956, DB06772
PPIF,M80254,DB00091
TK,X14112,DB00787
TK,X14112, DB01004
tetX,X04436,DB11604
TUBB3,U47634,DB04845
ampC,X07274,DB09060
ampC,X07274, DB12107
ampC,X07274, DB12377
ampC,X03866,DB00355
penP,V00093,DB04272
icd,U05257,DB04272
C1S,X06596,DB06404
C1S,X06596, DB09228
METAP2,U29607,DB01422
bla,AL513383,DB01606
MMP16,AB009303,DB00786
PLA2G2A,M22430,DB00328
CA12,AF051882,DB00819
PARP1,X16674,DB09074
PARP1,X16674, DB11760
PARP1,X16674, DB11793
PARP1,X16674, DB12332
PRSS1,M22612,DB12598
NR1H4,U68233,DB05990
FABP7,AJ002962,DB00159
TGFBR2,M85079,DB10772
pbpX,X16367,DB01147
eta,K01397,DB02701
TBXAS1,M80647,DB01207
TXNRD1,X91247,DB01169
folA,J01609,DB00440
bla,AF148850,DB01606
bla,AF148850, DB09060
bla,AF148850, DB12377
bla,AF148851,DB09060
dacA,X06479,DB00274
dacA,X06479, DB01147
dacA,X06479, DB01329
dacA,X06479, DB01331
dacA,X06479,DB00578
dacA,X06479, DB01000
dacA,X06479, DB01602
dacA,X06479, DB09319
SCN2A,M94055,DB00193
SCN2A,M94055, DB00252
SCN2A,M94055, DB00909
SCN2A,M94055,DB00907
SCN2A,M94055, DB05541
SCN2A,M94055, DB13269
